ID,Name,Type,Purpose,Frequency,OperationalHours,Latitude,Longitude,ICAO
ALG,ALGHERO,VOR,AE,113.80MHZ,H24,40°37'41.3"N,008°14'38.0"E,LIEA
ALG,ALGHERO,TACAN,AE,CH 85X,H24,40°37'41.6"N,008°14'37.8"E,LIEA
CDC,CARAFFA DI CATANZARO,VOR,AE,117.30MHZ,H24,38°45'21"N,016°22'09"E,LIBC
CDC,CARAFFA DI CATANZARO,TACAN,AE,CH 120X,H24,38°45'21"N,016°22'09"E,LIBC
ELB,ELBA,VOR,AE,114.70MHZ,H24,42°43'50"N,010°23'45"E,LIRJ
ELB,ELBA,TACAN,AE,CH 94X,H24,42°43'50"N,010°23'45"E,LIRJ
LCC,LECCE,VOR,E,112.80MHZ,H24,40°14'50"N,018°07'51"E,LIBN
LCC,LECCE,TACAN,E,CH 75X,H24,40°14'51"N,018°07'48"E,LIBN
PNZ,PONZA,VOR,AE,114.60MHZ,H24,40°54'43"N,012°57'27"E,LIRA
PNZ,PONZA,TACAN,AE,CH 93X,H24,40°54'43"N,012°57'26"E,LIRA
RIM,RIMINI,VOR,AE,116.20MHZ,H24,44°00'54.6"N,012°36'59.9"E,LIPR
RIM,RIMINI,TACAN,AE,CH 109X,H24,44°00'54.3"N,012°36'59.3"E,LIPR
TRP,TRAPANI,VOR,AE,108.80MHZ,H24,37°53'45.5"N,012°30'47.5"E,LICT
TRP,TRAPANI,TACAN,AE,CH 25X,H24,37°53'45.5"N,012°30'48.2"E,LICT
VIL,VILLAFRANCA,VOR,AE,115.80MHZ,H24,45°24'28.4"N,010°54'22.5"E,LIPX
VIL,VILLAFRANCA,TACAN,AE,CH 105X,H24,45°24'29.5"N,010°54'24.0"E,LIPX