Designator,Code Designator,LAT,LONG,Radio AID or next visual REP
1NM NORTH SALERNO TOWN,RINW1,40°41'47''N,014°47'06''E,FROM SOR VOR: 069°/22NM
1NM SW PORTOFINO,MJE2,44°17'27''N,009°11'33''E,FROM GEN VOR: 148°/9NM FROM SES VOR: 114°/18NM
1NM WEST SAN CASCIANO,RQS2,43°39'06''N,011°10'01''E,FROM PRT VOR: 187°/10NM
20NM NORTH LAMPEDUSA,CDN1,35°49'54''N,012°36'30''E,FROM LPD VOR: 354°/20NM
20NM SOUTH LAMPEDUSA,CDS1,35°09'52''N,012°37'41''E,FROM LPD VOR: 177°/20NM
24NM EAST LAMPEDUSA,CDE1,35°30'24''N,013°06'29''E,FROM LPD VOR: 086°/23.5NM
26NM WEST LAMPEDUSA,CDW1,35°29'11''N,012°05'17''E,FROM LPD VOR: 265°/26.5NM
2NM EAST LAGO DI BOLSENA,RRN4,42°37'06''N,012°02'55''E,FROM CMP VOR: 331°/33NM FROM TAQ VOR: 027°/27NM TO Orvieto Scalo: 027°/7NM TO Viterbo: 165°/12NM
2NM NORTH EAST ZANCA,RJNW1,42°49'55''N,010°09'43''E,FROM ELB VOR: 299°/12NM
2NM NORTH LUCERA,BAN3,41°31'57''N,015°15'26''E,FROM FGG VOR: 294°/14NM TO Foggia AD: 113°/14NM TO San Severo: 029°/11NM
2NM SOUTH CANOSA,BASE2,41°10'59''N,016°03'38''E,FROM BAR VOR:272°/33NM FROM FGG VOR: 119°/28NM TO Stornara: 292°/15NM TO Trani: 069°/17NM
2NM SOUTH FETOVAIA,RJSW1,42°41'52''N,010°09'06''E,FROM ELB VOR: 258°/11NM
2NM WEST CAVO,RJNE1,42°51'25''N,010°23'20''E,FROM ELB VOR: 356°/8NM
2NM WEST CECCANO,RHS1,41°34'00''N,013°17'00''E,FROM FRS VOR: 156°/5NM FROM LAT VOR: 083°/19NM FROM PNZ VORTAC: 021°/43NM TO Supino: 321°/4NM TO Ceprano: 098°/11NM
2NM WEST TERRACINA,RLSE1,41°16'53''N,013°12'04''E,FROM LAT VOR: 139°/20NM FROM PNZ VORTAC: 025°/25NM TO Priverno: 354°/12NM TO Borgo Isonzo: 305°/16NM
5.5NM EAST LAMPEDUSA,CDE2,35°30'01''N,012°43'50''E,FROM LPD VOR: 088°/5.0NM
5.5NM NORTH LAMPEDUSA,CDN2,35°35'23''N,012°36'56''E,FROM LPD VOR: 350°/5.5NM
5.5NM SOUTH LAMPEDUSA,CDS2,35°24'23''N,012°37'16''E,FROM LPD VOR: 183°/5.5NM
5.5NM WEST LAMPEDUSA,CDW2,35°29'45''N,012°30'22''E,FROM LPD VOR: 266°/6.0NM
5NM NORD EST AUGUSTA,CZSE1,37°18'42''N,015°15'11''E,FROM CTF VOR: 135°/13NM FROM SIG NDB: 110°/14NM TO Foce Simeto: 302°/9NM
5NM W MILAZZO,CRW2,38°13'20''N,015°08'08''E,FROM RCA VOR: 288°/26NM
ACATE,CBW2,37°01'43''N,014°29'40''E,FROM COM VOR: 297°/5NM
AGIRA,CZNW1,37°39'00''N,014°31'37''E,FROM CTF VOR: 292°/28NM FROM SIG NDB: 304°/26NM
ALASSIO,MGSE1,44°00'21''N,008°10'13''E,FROM ALB VOR: 143°/3NM TO Albenga/Riviera Airport AD: 320°/3NM
ALBERETO,PRSW2,43°55'30''N,012°31'00''E,FROM RIM VOR: 217°/7NM
ALPIGNANO,MAW1,45°05'55''N,007°31'30''E,FROM CSL VOR: 215°/9NM FROM TOP VOR: 305°/18NM
ALTEDO,PEE1,44°40'06''N,011°29'26''E,FROM BOA VOR: 046°/12NM TO Castel Maggiore (PEE3): 221°/8NM
AMANTEA,CANW3,39°08'03''N,016°04'32''E,FROM CRN VOR: 278°/48NM FROM LMT VOR: 325°/16NM
ANCONA,PYE1,43°37'17''N,013°30'01''E,FROM ANC VOR: 029°/2NM
ANSA RENO,PEN3,44°37'16''N,011°18'47''E,FROM BOA VOR: 009°/5NM
ANZIO,RESE2,41°26'56''N,012°37'27''E,FROM LAT VOR: 246°/14NM FROM PNZ VORTAC: 333°/36NM TO Aprilia: 006°/9NM
AOSTA WEST,MWW1,45°43'07''N,007°15'54''E,FROM SCS VOR: 242°/3NM FROM SVC NDB: 265°/19NM
APPIANO NORD,LNE1,45°44'53''N,008°57'11''E,FROM SRN VOR: 333°/6.65NM
APRILIA,RESE1,41°35'35''N,012°39'05''E,FROM LAT VOR: 283°/12NM FROM OST VOR: 122°/22NM TO Anzio: 186°/9NM TO Borgo Montello: 131°/7NM TO Velletri Railway Station: 048°/8NM
ARGENTIERA,EANW1,40°44'04''N,008°09'00''E,FROM ALG VOR: 325°/8NM FROM AEA VOR: 311°/9NM
ARIANO IRPINO,BASW1,41°09'12''N,015°05'09''E,FROM FGG VOR: 228°/26NM TO Orsara di Puglia: 046°/11NM
ARISCHIA,APNE1,42°25'05''N,013°20'27''E,FROM PES VOR: 267°/37NM
AVERSA IPPODROMO,RNN5,40°57'29''N,014°12'14''E,FROM SOR VOR: 343°/23NM FROM TEA VOR: 150°/23NM
AZZATE - SVINCOLO A8,LNNW1,45°46'36''N,008°48'55''E,FROM SRN VOR: 309°/11NM
BACINO DI CUGA,EAE1,40°36'54''N,008°28'38''E,FROM ALG VOR: 093°/11NM FROM AEA VOR: 0098°/9NM
BAGNAIA,RVE1,42°26'00''N,012°09'00''E,FROM TAQ VOR: 053°/23NM
BALESTRATE,CJSW2,38°03'09''N,013°00'30''E,FROM PAL VOR: 276°/8NM FROM PRS VOR: 204°/8NM FROM TRP VOR: 066°/25NM
BARBERINO VAL D'ELSA,RQS1,43°31'39''N,011°10'27''E,FROM PRT VOR: 182°/17NM
BARILLA,MPE1,44°49'39''N,010°22'12''E,FROM BOA VOR 292°/43NM FROM VIL VOR 211°/42NM
BASSANO DEL GRAPPA,PHNW1,45°45'25''N,011°42'54''E,FROM TRE L: 297°/18NM
BELLAGIO,MMN6,45°59'20''N,009°15'50''E,FROM BRL VOR: 314°/26NM FROM SRN VOR: 025°/23NM FROM TZO VOR: 337°/28NM
BEVAGNA,RZSE1,42°55'56''N,012°36'27''E,FROM PRU VOR: 156°/11NM
BIANDRATE,MNSW1,45°27'56''N,008°27'02''E,FROM MMP VOR: 232°/18NM
BIELLA NORD,LEN1,45°34'50''N,008°03'16''E,FROM MMP VOR: 262°/29NM
BINAGO,LNNE1,45°46'48''N,008°55'24''E,FROM SRN VOR: 329°/8.9NM
BISCEGLIE,BDNW3,41°14'23''N,016°30'24''E,FROM BAR VOR: 293°/13NM FROM FGG VAR: 102°/46NM TO Molfetta: 118°/5NM
BITRITTO,BDSE2,41°02'34''N,016°49'36''E,FROM BAR VOR: 156°/6.5NM
BORGO ISONZO,RLS1,41°26'25''N,012°55'35''E,FROM LAT VOR: 175°/6NM FROM PNZ VORTAC: 356°/32NM TO Priverno: 076°/12NM TO 2NM West Terracina: 126°/16NM
BORGO MONTELLO,RLSW1,41°30'30''N,012°46'25''E,FROM LAT VOR: 251°/7NM FROM OST VOR: 124°/30NM TO Aprilia: 311°/7NM TO Borgo Isonzo: 119°/8NM TO Tor San Lorenzo: 280°/11NM
BORGONUOVO,PES3,44°26'44''N,011°16'13''E,FROM BOA VOR: 188°/6NM
BOVOLENTA,PZSW2,45°16'09''N,011°56'28''E,FROM TES VOR: 229°/23NM
BRA,MZNE1,44°41'45''N,007°51'10''E,FROM LEV L: 047°/14NM FROM TOP VOR: 181°/14NM
BRACCAGNI,RSN3,42°51'56''N,011°04'58''E,FROM GRO VOR: 001°/6NM
BREGALLA,MMSW2,44°00'14''N,007°43'49''E,FROM ALB VOR: 261°/17NM
BRESCELLO,MPNE1,44°54'11''N,010°30'51''E,FROM BOA VOR: 302°/40NM TO Colorno: 286°/6NM
BRESCIA COSTALUNGA,PON1,45°33'58''N,010°12'53''E,FROM BSM VOR: 327°/8.8NM FROM VIL VOR: 285°/30.7NM
BRISIGHELLA,PRNW5,44°13'41''N,011°44'05''E,FROM BOA VOR: 123°/26NM FROM FOL VOR/DME: 278°/15NM FROM CHI VOR: 178°/36NM
BROSSASCO,MZW2,44°34'13''N,007°21'46''E,FROM TOP VOR: 224°/30.5NM
BRUERE,MAW2,45°04'54''N,007°32'30''E,FROM CSL VOR: 207°/10NM FROM TOP VOR: 303°/17
BUSCA,MZW1,44°31'00''N,007°28'00''E,FROM LEV L: 255°/7NM FROM TOP VOR: 214°/30NM
BUSSETO,MSE1,44°58'47''N,010°02'35''E,TO Castione Marchesi: 174°/4NM TO Soragna: 130°/5NM TO S.Nicolò: 286°/19NM
CA L'AGLIO ANTICA,RVS1,42°22'30''N,012°03'00''E,FROM TAQ VOR: 054°/17NM
CA' SAVIO,PZS1,45°27'29''N,012°26'37''E,FROM TES VOR: 137°/5NM FROM TRE L: 122°/18NM
CALANGIANUS,EOW1,40°55'15''N,009°11'40''E,FROM AJO VOR: 158°/54NM FROM ALG VOR: 067°/47NM FROM SME VOR: 277°/14NM
CALATAFIMI,CTE1,37°55'05''N,012°51'40''E,FROM PAL VOR: 244°/17NM FROM TRP NDB: 088°/17NM FROM TRP VOR: 084°/17NM
CALLIANO,DTS1,45°56'01''N,011°05'45''E,FROM VIC VOR: 305°/30NM
CALTAGIRONE,CBN1,37°14'28''N,014°30'48''E,FROM COM VOR: 344°/16NM
CAMPUS,MPSE2,44°46'10''N,010°19'40''E,FROM BOA VOR 287°/44N FROM VIL VOR 211°/46NM
CANCELLO,RNNE1,40°59'33''N,014°25'05''E,FROM SOR VOR: 007°/25NM FROM TEA VOR: 130°/27NM
CANDIA CANAVESE,MFNE1,45°19'10''N,007°53'55''E,FROM CSL VOR: 060°/12NM FROM TOP VOR: 003°/24NM
CANINO,RRNW2,42°27'55''N,011°45'04''E,FROM TAQ VOR: 002°/15NM TO Manciano: 303°/13NM TO Tuscania: 116°/6NM
CANNARA,RZSE2,42°59'56''N,012°34'57''E,FROM PRU VOR: 152°/7NM
CANNOBIO,MMN2,46°03'45''N,008°41'48''E,FROM MMP VOR: 356°/25NM FROM SRN VOR: 330°/28NM
CAORLE,PHE2,45°36'00''N,012°53'00''E,FROM RIV NDB: 185°/20NM FROM TES VOR: 075°/22NM
CAPO COLONNA,BCE1,39°01'32''N,017°12'16''E,FROM CRN VOR: 070°/6NM FROM LMT VOR: 077°/45NM
CAPO FERRO,EON2,41°09'20''N,009°31'25''E,FROM AJO VOR: 136°/50NM FROM SME VOR: 003°/16NM
CAPO SAN MARCO,CTSE1,37°29'56''N,013°01'22''E,FROM PAL VOR: 191°/33NM FROM TRP NDB: 133°/35NM FROM TRP VOR: 133°/34NM
CAPO SAN VITO,CJW1,38°11'23''N,012°44'00''E,FROM PAL VOR: 292°/23NM FROM PRS VOR: 272°/16NM FROM TRP VOR: 029°/20NM TO Nord Capo Gallo: 084°/28NM
CAPO SCARAMIA,CBS1,36°47'20''N,014°29'42''E,FROM COM VOR: 200°/13NM
CAPO SUVERO,CANW1,38°57'17''N,016°09'33''E,FROM CRN VOR: 265°/43NM FROM LMT VOR: 299°/6NM
CAPO TESTA,EONW1,41°14'10''N,009°08'45''E,FROM AJO VOR: 151°/36NM FROM ALG VOR: 047°/55NM FROM SME VOR: 321°/26NM
CAPOTERRA,EESW2,39°09'54''N,008°57'54''E,FROM CAG VOR: 220°/7NM FROM CAR VOR: 277°/26NM
CAPRANICA,RRN1,42°15'25''N,012°10'43''E,FROM CMP VOR: 310°/12NM FROM TAQ VOR: 081°/20NM TO Vetralla: 304°/7NM
CAPRI,RNS1,40°33'30''N,014°14'40''E,FROM SOR VOR: 243°/5NM FROM TEA VOR: 162°/46NM
CAPUA,RMN2,41°06'36''N,014°12'52''E,FROM SOR VOR: 348°/32NM FROM TEA VOR: 133°/16NM TO Caserta: 114°/6NM TO Teano: 319°/11NM
CARBONARA,EESE1,39°05'44''N,009°31'24''E,FROM CAG VOR: 113°/24NM
CARDETO,CRE1,38°05'05''N,015°46'00''E,FROM RCA VOR: 083°/6NM
CARIGNANO,MFS1,44°54'29''N,007°41'24''E,FROM CSL VOR: 174°/19NM FROM TOP VOR: 261°/7NM
CARINI,CJSE1,38°07'54''N,013°10'52''E,FROM PAL VOR: 360°/6NM FROM PRS VOR: 115°/5NM FROM TRP VOR: 064°/35NM
CARRU',MZE2,44°29'04''N,007°52'38''E,FROM TOP VOR/DME 177°/26NM
CASA DEL DIAVOLO,RZNW2,43°11'10''N,012°27'05''E,FROM PRU VOR: 330°/6NM
CASALMAGGIORE,MPNE3,44°58'58''N,010°25'03''E,FROM BOA VOR: 305°/46NM
CASCINA,RPE2,43°40'30''N,010°33'00''E,FROM PIS L: 064°/12NM FROM PIS VOR: 089°/7NM
CASELETTE,MANW1,45°06'20''N,007°29'00''E,FROM CSL VOR: 225°/10NM FROM TOP VOR: 303°/19NM
CASELLO A11,RQNW3,43°49'34''N,011°09'43''E,FROM PRT VOR: 299°/2NM
CASERTA,RNN3,41°04'07''N,014°19'36''E,FROM SOR VOR: 357°/39NM FROM TEA VOR: 128°/21NM TO Aversa: 218°/8NM TO Capua: 294°/6NM
CASOLE D'ELSA,RSN1,43°20'27''N,011°02'51''E,FROM GRO VOR: 356°/35NM
CASTEL D'ASSO,RVSW2,42°23'45''N,012°00'30''E,FROM TAQ VOR: 047°/16NM
CASTEL D'AZZANO,PXE3,45°21'23''N,010°57'26''E,FROM VIL VOR: 144°/4NM
CASTEL DE CEVERI,RUNW1,42°01'42''N,012°25'36''E,FROM ROM VOR/DME: 330°/15NM
CASTEL DI SALCE,RVSW1,42°22'00''N,011°58'15''E,FROM TAQ VOR: 048°/14NM
CASTEL GUELFO,PESE1,44°25'57''N,011°39'42''E,FROM BOA VOR: 110°/17NM FROM FOL VOR: 306°/23NM
CASTEL MAGGIORE,PEE3,44°34'25''N,011°21'50''E,FROM BOA VOR: 054°/4NM
CASTELFRANCO VENETO,PHW1,45°40'19''N,011°55'42''E,FROM TES VOR: 295°/20NM FROM TRE L: 291°/8NM
CASTELLAMMARE,CJSW1,38°01'27''N,012°53'05''E,FROM PAL VOR: 266°/14NM FROM PRS VOR: 225°/13NM FROM TRP VOR: 065°/19NM TO Palermo/Punta Raisi AD: 045°/14NM
CASTELLETTO,PBE1,46°30'46''N,011°28'35''E,FROM OZE VOR: 048°/10NM
CASTELLINA MARITTIMA,RPSE1,43°25'19''N,010°33'26''E,FROM PIS VOR/DME: 152°/17NM
CASTELVETRANO,CTSE2,37°40'45''N,012°48'03''E,FROM PAL VOR: 219°/28NM FROM TRP NDB: 132°/20NM FROM TRP VOR: 132°/19NM
CASTIGLIONE DELLA PESCAIA,RSW2,42°46'10''N,010°52'49''E,FROM ELB VOR: 082°/22NM
CASTIONE MARCHESI,MSE2,44°54'30''N,010°03'00''E,FROM BOA VOR: 290°/58NM TO Busseto: 353°/4NM TO Lago di Mignano: 231°/13.5NM
CASTROCARO TERME,PKW1,44°10'15''N,011°56'50''E,FROM FOL VOR/DME: 255°/5NM FROM RIM VOR: 286°/30NM
CAVARZERE,PZS5,45°07'50''N,012°04'50''E,FROM TES VOR: 206°/26NM
CECINA,RPS1,43°18'06''N,010°29'17''E,FROM PIS VOR/DME: 166°/23NM
CEGLIE MESSAPICO,BGNE1,40°38'27''N,017°31'21''E,FROM BCS VOR: 262°/22NM TO Taranto/Grottaglie AD: 215°/9NM
CENTO,PEN1,44°43'43''N,011°17'09''E,FROM BOA VOR: 358°/12NM TO Ansa Reno (PEN3): 167°/7NM
CEPRANO,RHSE1,41°32'00''N,013°32'00''E,FROM LAT VOR/DME: 088°/28NM FROM FRS VOR/DME: 119°/12NM TO Ceccano: 278°/11NM
CERIALE,MGNE1,44°05'47''N,008°13'57''E,FROM ALB VOR: 057°/5NM TO Albenga/Riviera Airport AD: 236°/6NM
CERTOSA,RQS3,43°43'46''N,011°14'17''E,FROM PRT VOR: 160°/5NM
CERVINIA,MMNW3,45°56'13''N,007°37'42''E,FROM SCS VOR: 046°/17NM FROM SVC NDB: 342°/12NM
CEVA,MMSW1,44°23'05''N,008°02'00''E,FROM LEV L: 117°/20NM FROM TOP VOR: 166°/33NM
CHATILLON,MMNW4,45°44'52''N,007°37'18''E,FROM SCS VOR: 089°/12NM FROM SVC NDB: 272°/4NM
CHIETI,BPSW1,42°21'00''N,014°10'30''E,FROM PES VOR: 183°/5NM
CHIOGGIA,PZS4,45°13'03''N,012°17'14''E,FROM TES VOR: 189°/18NM
CHIUSAFORTE,PPNE6,46°24'30''N,013°18'30''E,FROM RIV NDB: 026°/32NM FROM VIW VOR: 234°/30NM
CHIVASSO,MFE2,45°11'20''N,007°53'28''E,FROM CSL VOR: 099°/10NM FROM TOP VOR: 004°/16NM
CINIGIANO,RSNE3,42°52'46''N,011°25'36''E,FROM GRO VOR: 064°/17NM
CITTADUCALE,QNSE1,42°23'10''N,012°56'54''E,FROM CMP VOR: 058°/30NM FROM ROM VOR: 024°/38NM
CIVEZZANO,DTNE1,46°05'22''N,011°11'08''E,FROM VIC VOR: 321°/34NM
CIVITANOVA,PYSE2,43°18'50''N,013°43'50''E,FROM ANC VOR: 143°/20NM
CIVITELLA MARITTIMA,RSNE2,42°59'35''N,011°17'23''E,FROM GRO VOR: 032°/17NM
CLUSONE,MMNE3,45°53'25''N,009°56'43''E,FROM BRL VOR: 037°/17NM FROM SRN VOR: 068°/41NM FROM TZO VOR: 042°/27NM
COGOLETO,MJW1,44°23'22''N,008°38'33''E,FROM ALB VOR: 046°/30NM FROM GEN VOR: 263°/19NM FROM SES VOR: 257°/8NM
COLICO,MMN8,46°08'10''N,009°22'08''E,FROM BRL VOR: 332°/31NM FROM SRN VOR: 025°/33 FROM TZO VOR: 349°/35NM
COLLE ROIO,APS1,42°20'36''N,013°20'42''E,FROM PES VOR: 260°/38NM
COLLECCHIO,MPSW1,44°45'02''N,010°13'11''E,TO Ponte Taro: 354°/5NM TO Sant'Ilario d'Enza: 084°/10NM TO Traversetolo: 131°/9NM
COLLEFERRO,RHNW1,41°44'42''N,012°58'35''E,FROM LAT VOR/DME: 010°/13NM FROM FRS VOR/DME: 292°/16NM TO Sgurgola 117°/9NM
COLLESALVETTI,RPSE2,43°36'50''N,010°27'49''E,FROM PIS L: 077°/7NM FROM PIS VOR: 139°/5NM
COLLEVERDE,RUE1,41°58'36''N,012°37'06''E,FROM ROM VOR: 006°/10NM
COLOMBO,RFS3,41°42'47''N,012°18'56''E,FROM OST VOR: 146°/6NM
COLORNO,MPNE2,44°55'58''N,010°22'38''E,FROM BOA VOR: 300°/46NM TO Brescello: 106°/6NM TO Sissa: 290°/5NM
COMO,MMN3,45°48'30''N,009°04'58''E,FROM BRL VOR: 285°/26NM FROM LIN VOR: 338°/22NM FROM SRN VOR: 014°/10NM FROM TZO VOR: 309°/23NM
CONEGLIANO,PASW1,45°54'02''N,012°18'29''E,FROM AVI NDB: 252°/5NM TO Vittorio Veneto: 002°/6NM
CONERO EST,PYSE1,43°33'22''N,013°38'00''E,FROM ANC VOR: 102°/7NM
CONFINE ITALIA/AUSTRIA,PPNE1,46°32'05''N,013°38'20''E,FROM VIW VOR: 228°/15NM
CONTIGLIANO,QNW1,42°24'38''N,012°46'06''E,FROM CMP VOR: 045°/24NM FROM ROM VOR: 012°/37NM
CORATO,BDW2,41°09'14''N,016°24'48''E,FROM BAR VOR: 270°/16NM FROM FGG VOR: 110°/43NM TO Molfetta: 070°/9NM
CORCIANO,RZW2,43°08'02''N,012°17'27''E,FROM PRU VOR: 280°/10NM
COSSATO,LENE1,45°34'32''N,008°10'24''E,FROM MMP VOR: 260°/24NM
COTIGNOLA,PRNW1,44°23'24''N,011°56'32''E,FROM FOL VOR/DME: 335°/13NM FROM RIM VOR: 306°/37NM
CTR,MFNW2,45°19'15''N,007°28'23''E,FROM CSL VOR: 308°/10NM FROM TOP VOR: 325°/29NM
CUORGNE',MFN1,45°23'17''N,007°40'02''E,FROM SCS VOR: 147°/26NM FROM CSL VOR: 004°/10NM FROM TOP VOR: 343°/29NM
DOGNA,PPNE5,46°26'55''N,013°18'50''E,FROM RIV NDB: 025°/34NM FROM VIW VOR: 237°/29NM
DRONERO,MZW3,44°28'03''N,007°21'29''E,FROM TOP VOR: 218°/38NM
DUINO,PQSE1,45°46'25''N,013°36'16''E,FROM RCH VOR: 120°/6NM FROM RON L: 105°/11NM
EAST,CGE1,36°51'04''N,012°11'24''E,FROM PAN VOR: 077°/11NM
EAST GATE,CTE2,37°53'38''N,012°43'25''E,FROM PAL VOR: 247°/23NM FROM TRP NDB: 095°/11NM FROM TRP VOR: 089°/10NM
